id_prestamo;fecha_prestamo;fecha_vencimiento;fecha_devolucion;categoria;tipo_usuario;estado_prestamo;canal_prestamo;isbn;renovaciones;autor;sede_biblioteca;nombre_usuario;observaciones;titulo_libro;id_libro;id_bibliotecario;multa_crc;id_usuario;nr_errores;descripcion_error;campos_error;codigos_error
PRE0010280;2023-08-05;2023-08-19;;Medicina;Estudiante;En préstamo;Autoservicio;12345;99;C. Vargas;Atlántico;Manuel Valverde Jiménez;Usuario reporta portada dañada;Gobernanza de Datos Vol. 3;LB00644;BIB0020;0.0;USR001958;2;isbn con formato/longitud inválida | isbn con formato/longitud inválida;isbn | isbn;ISBN | ISBN
PRE0010313;2025-05-29;2025-06-12;2025-06-11;Ciencias;Estudiante;Devuelto;Autoservicio;NULL;1;C. Inmon;Central;Laura Sánchez Torres;Renovado una vez;Gobernanza de Datos Vol. 1;LB00297;BIB0010;0.0;USR000560;2;isbn con formato/longitud inválida | isbn con formato/longitud inválida;isbn | isbn;ISBN | ISBN
PRE0010351;;2025-12-06;;Tecnología;Estudiante;En préstamo;Autoservicio;0848729758598;0;J. Caserta;Occidente;Elena Gómez Rojas;Usuario reporta portada dañada;Ética y Tecnología Vol. 1;LB00604;BIB0010;0.0;USR001607;1;fecha_prestamo inválida;fecha_prestamo;FECHA_PRESTAMO
PRE0010360;2023-02-17;2023-03-10;2023-03-16;Tecnología;Externo;Devuelto;App móvil;8484219933083;;P. Ponniah;Pacífico;Miguel Blanco Aguilar;Revisión pendiente;metodología de la investigación vol. 4;LB00132;BIB0020;1500.0;USR002244;1;renovaciones inválida o negativa;renovaciones;RENOVACIONES
PRE0010367;2023-10-11;2023-10-25;2023-10-30;Derecho;Estudiante;Devuelto;Autoservicio;9781ABC;3;L. Mora;Central;Mariana Sánchez Quesada;Renovado una vez;ética y tecnología vol. 2;LB00706;BIB0028;1250.0;USR003988;2;isbn con formato/longitud inválida | isbn con formato/longitud inválida;isbn | isbn;ISBN | ISBN
PRE0010401;2023-04-12;2023-04-19;;Sociología;Docente;;En línea;4738347359774;1;L. Mora;Atlántico;Lucía Blanco Jiménez;;Modelado Dimensional Vol. 2;LB00098;BIB0008;265250.0;USR000375;1;estado_prestamo vacío;estado_prestamo;ESTADO
PRE0010422;;2023-09-16;2023-09-15;Educación;Docente;Devuelto;App móvil;0983930103105;;C. Inmon;Central;Manuel Quesada Vega;Revisión pendiente;Diseño de Experimentos Vol. 2;LB00012;BIB0031;0.0;USR003155;2;fecha_prestamo inválida | renovaciones inválida o negativa;fecha_prestamo | renovaciones;FECHA_PRESTAMO | RENOVACIONES
PRE0010429;2024-08-05;2024-09-02;2024-09-08;Ingeniería;Docente;Devuelto;App móvil;9156716493289;0;E. Quesada;Ciencias Sociales;;Entrega con atraso;Teoría de la Información Vol. 4;LB00588;BIB0034;1500.0;USR001588;1;nombre_usuario vacío;nombre_usuario;NOMBRE_USUARIO
PRE0010430;2024-08-25;2024-09-22;;Historia;Estudiante;Atrasado;Mostrador;4519515109226;0;J. Caserta;Central;Paula Salazar Alvarado;Usuario reporta portada dañada;Programación en Python Vol. 1;LB00641;;134750.0;USR000977;1;id_bibliotecario vacío o con formato inválido;id_bibliotecario;ID_BIBLIOTECARIO
PRE0010436;2027-01-15;2024-05-22;2024-05-30;Tecnología;Estudiante;Devuelto;En línea;000X;1;S. Gómez;Atlántico;Paola Vargas Rojas;Renovado una vez;Gobernanza de Datos Vol. 4;LB00099;BIB0015;2000.0;USR002880;2;isbn con formato/longitud inválida | isbn con formato/longitud inválida;isbn | isbn;ISBN | ISBN
PRE0010446;;2023-02-26;2023-03-10;Matemática;Estudiante;Devuelto;En línea;5561681472145;3;C. Inmon;Occidente;Natalia Calvo Vega;;Modelado Dimensional Vol. 1;LB00363;BIB0031;3000.0;USR003751;1;fecha_prestamo inválida;fecha_prestamo;FECHA_PRESTAMO
PRE0010461;2024-07-08;;;Ciencias;Externo;Perdido;Autoservicio;3460136730371;1;S. Atre;Ciencias Sociales;Laura Jiménez Rodríguez;Entrega con atraso;Gobernanza de Datos Vol. 1;LB00323;BIB0019;10000.0;USR001322;1;fecha_vencimiento inválida;fecha_vencimiento;FECHA_VENCIMIENTO
PRE0010466;;2024-02-01;;Ingeniería;Funcionario;En préstamo;App móvil;2038750997700;0;C. Inmon;Ciencias Sociales;María Alvarado Vega;;Derecho de la Información Vol. 2;LB00155;BIB0005;0.0;USR000008;1;fecha_prestamo inválida;fecha_prestamo;FECHA_PRESTAMO
PRE0010471;2024-10-27;2024-11-17;;Ciencias;Estudiante;Atrasado;En línea;8671632346729;0;A. Pérez;Pacífico;Paola Ramírez Vargas;Fila migrada manualmente;;LB00557;BIB0038;120750.0;USR004609;1;titulo_libro vacío;titulo_libro;TITULO
PRE0010472;2025-05-09;;2025-05-22;Educación;Funcionario;Devuelto;Autoservicio;6420873753001;1;P. Ponniah;Atlántico;Gabriela Herrera Blanco;;Análisis Multivariado Vol. 3;LB00249;BIB0016;0.0;USR004648;1;fecha_vencimiento inválida;fecha_vencimiento;FECHA_VENCIMIENTO
PRE0010505;2025-10-11;2025-11-01;2025-11-01;Ciencias;Estudiante;Devuelto;Autoservicio;7530463745499;2;S. Gómez;??;Mariana Vargas Herrera;;;LB00137;BIB0019;0.0;USR003582;1;titulo_libro vacío;titulo_libro;TITULO
PRE0010520;2024-06-14;2024-07-12;;Literatura;Estudiante;;App móvil;1851067949756;3;S. Atre;Ingenierías;Julio Aguilar Solano;;Análisis Multivariado Vol. 2;LB00514;BIB0016;15000.0;USR001412;1;estado_prestamo vacío;estado_prestamo;ESTADO
PRE0010526;;2025-07-20;;Medicina;Docente;En préstamo;Autoservicio;6137918055269;3;J. Caserta;Occidente;Sofía Ramírez Mora;Préstamo interbibliotecario;Derecho de la Información Vol. 1;LB00192;BIB0013;0.0;USR002566;1;fecha_prestamo inválida;fecha_prestamo;FECHA_PRESTAMO
PRE0010548;2023-02-21;2023-03-14;;Educación;Estudiante;En préstamo;En línea;4599102290147;0;S. Gómez;Pacífico;Roberto Herrera Rojas;;Investigación de Operaciones Vol. 3;LB00084;;0.0;USR004009;1;id_bibliotecario vacío o con formato inválido;id_bibliotecario;ID_BIBLIOTECARIO
PRE0010549;2025-11-27;2025-12-04;;Arte;Docente;Atrasado;Mostrador;3761820916601;0;C. Inmon;Ciencias Sociales;José Araya Rojas;;Historia de Costa Rica Vol. 2;LB00637;BIB0001;25250.0;;1;id_usuario vacío o con formato inválido;id_usuario;ID_USUARIO
PRE0010576;2025-04-02;2025-04-09;2025-04-08;Literatura;Funcionario;Devuelto;En línea;3108907140140;0;J. Ramírez;Atlántico;Laura Campos Cordero;Revisión pendiente;;LB00443;BIB0014;0.0;USR002783;1;titulo_libro vacío;titulo_libro;TITULO
PRE0010583;2024-08-01;2024-08-15;;Sociología;Estudiante;En préstamo;App móvil;0551076209184;0;E. Quesada;Occidente;Diego Ramírez Aguilar;Entrega con atraso;Ética y Tecnología Vol. 4;LB00586;BIB0005;0.0;USR-XX;1;id_usuario vacío o con formato inválido;id_usuario;ID_USUARIO
PRE0010605;2024-04-22;2024-05-06;2024-05-10;Economía;Estudiante;Devuelto;App móvil;5932133480396;0;S. Atre;Ciencias Sociales;María Jiménez Mora;Revisión pendiente;Arquitectura de Datos Vol. 1;LB00212;BIB0023;1000.0;;1;id_usuario vacío o con formato inválido;id_usuario;ID_USUARIO
PRE0010613;;2025-02-22;2025-02-27;Ingeniería;Estudiante;Devuelto;Mostrador;4870682778816;1;C. Inmon;Occidente;Roberto Cordero Vargas;Usuario reporta portada dañada;Administración de Proyectos Vol. 1;LB00613;BIB0008;1250.0;USR001621;1;fecha_prestamo inválida;fecha_prestamo;FECHA_PRESTAMO
PRE0010621;2024-08-02;2024-08-09;2024-07-30;Historia;Estudiante;Devuelto;Autoservicio;9597964715890;0;;Occidente;Javier Valverde Araya;;Aprendizaje Automático Vol. 3;LB00437;BIB0024;750.0;USR001429;1;autor vacío;autor;AUTOR
PRE0010622;2024-03-30;2024-04-06;;Sociología;Investigador;En préstamo;Mostrador;NULL;1;P. Ponniah;Ingenierías;Camila Ramírez Rodríguez;;Aprendizaje Automático Vol. 1;LB00444;BIB0014;0.0;USR000225;2;isbn con formato/longitud inválida | isbn con formato/longitud inválida;isbn | isbn;ISBN | ISBN
PRE0010662;2023-10-13;2023-11-10;;Ciencias;Investigador;En préstamo;App móvil;5085016579055;1;C. Inmon;Ingenierías;;;Economía Digital Vol. 2;LB00421;BIB0012;0.0;USR001304;1;nombre_usuario vacío;nombre_usuario;NOMBRE_USUARIO
PRE0010754;2024-02-28;2024-03-13;2024-03-20;Medicina;Estudiante;Devuelto;App móvil;7028519611594;1;P. Ponniah;Humanidades;Gabriela Gómez Aguilar;Usuario reporta portada dañada;Algoritmos y Estructuras Vol. 1;LB00512;BIB0020;1750.0;??;1;id_usuario vacío o con formato inválido;id_usuario;ID_USUARIO
PRE0010756;2025-08-10;2025-08-24;;Sociología;Estudiante;En préstamo;App móvil;000X;1;D. Fernández;Salud;Andrea Castro Chaves;;Gestión de Bases de Datos Vol. 2;LB00707;BIB0021;0.0;USR003592;2;isbn con formato/longitud inválida | isbn con formato/longitud inválida;isbn | isbn;ISBN | ISBN
PRE0010766;2025-08-29;2025-09-26;;Ingeniería;Estudiante;En préstamo;En línea;1928327648350;3;;Atlántico;Paula Navarro Vega;Usuario reporta portada dañada;Modelado Dimensional Vol. 2;LB00005;BIB0012;0.0;USR003864;1;autor vacío;autor;AUTOR
PRE0010777;2023-09-08;2023-09-29;2023-09-28;Tecnología;Funcionario;Devuelto;En línea;;2;P. Ponniah;Pacífico;Daniela Castro Sánchez;Usuario reporta portada dañada;Sistemas de Información Vol. 2;LB00574;BIB0028;0.0;USR004046;1;isbn con formato/longitud inválida;isbn;ISBN
PRE0010781;2024-08-16;;2024-08-31;Educación;Estudiante;Devuelto;Mostrador;5778817884795;1;C. Inmon;Ciencias Sociales;Gabriela Ramírez Castro;Renovado una vez;Arquitectura de Datos Vol. 1;LB00423;BIB0039;250.0;USR002091;1;fecha_vencimiento inválida;fecha_vencimiento;FECHA_VENCIMIENTO
PRE0010809;2025-06-21;2025-06-28;;Matemática;Estudiante;Atrasado;;9578856855744;0;J. Caserta;Humanidades;Lucía Quesada Aguilar;Préstamo interbibliotecario;Diseño de Experimentos Vol. 4;LB00045;BIB0023;65000.0;USR001618;1;canal_prestamo vacío;canal_prestamo;CANAL
PRE0010834;;2025-10-22;2025-10-18;Matemática;Docente;Devuelto;Mostrador;5723084810018;0;S. Gómez;Salud;Camila Vega Valverde;;Administración de Proyectos Vol. 4;LB00639;BIB0003;0.0;USR003069;1;fecha_prestamo inválida;fecha_prestamo;FECHA_PRESTAMO
PRE0010846;2026-02-16;2026-03-09;2026-03-16;Ingeniería;Docente;Devuelto;En línea;2786814473947;2;R. Kimball;Central;José Rojas Torres;;;LB00112;BIB0005;1750.0;USR000698;1;titulo_libro vacío;titulo_libro;TITULO
PRE0010884;;2025-10-28;2025-11-06;Tecnología;Estudiante;Devuelto;Autoservicio;3155206506373;0;A. Pérez;Ciencias Sociales;Gabriela Castro Campos;Renovado una vez;Gobernanza de Datos Vol. 4;LB00567;BIB0030;2250.0;USR001208;1;fecha_prestamo inválida;fecha_prestamo;FECHA_PRESTAMO
PRE0010908;2025-03-10;2025-03-17;;Matemática;Estudiante;En préstamo;En línea;5547813767426;;R. Kimball;Pacífico;Elena Murillo Murillo;Revisión pendiente;Gobernanza de Datos Vol. 3;LB00433;BIB0034;;USR000348;1;renovaciones inválida o negativa;renovaciones;RENOVACIONES
PRE0010976;2023-01-08;2023-01-29;;Sociología;Estudiante;Atrasado;Mostrador;0586518506716;3;A. Pérez;Pacífico;;Préstamo interbibliotecario;Economía Digital Vol. 3;LB00041;BIB0031;285250.0;USR004559;1;nombre_usuario vacío;nombre_usuario;NOMBRE_USUARIO
PRE0010977;2025-07-15;2025-07-22;;Economía;Estudiante;Atrasado;En línea;12345;0;J. Ramírez;Atlántico;José Valverde Rodríguez;;Ética y Tecnología Vol. 1;LB00096;BIB0020;59000.0;USR000013;2;isbn con formato/longitud inválida | isbn con formato/longitud inválida;isbn | isbn;ISBN | ISBN
PRE0010981;2025-06-06;2025-06-27;2025-06-22;Ciencias;Estudiante;Devuelto;Autoservicio;;0;C. Inmon;Central;Kevin Blanco Alvarado;Renovado una vez;Gobernanza de Datos Vol. 1;LB00297;BIB0031;0.0;USR001727;1;isbn con formato/longitud inválida;isbn;ISBN
PRE0010985;2025-08-02;2025-08-16;;Sociología;Docente;En préstamo;En línea;NULL;2;M. Ross;Humanidades;María Navarro Sánchez;Revisión pendiente;Metodología de la Investigación Vol. 1;LB00748;BIB0027;0.0;NULL;3;id_usuario vacío o con formato inválido | isbn con formato/longitud inválida | isbn con formato/longitud inválida;id_usuario | isbn | isbn;ID_USUARIO | ISBN | ISBN
PRE0010987;2025-11-23;2025-12-07;2025-12-09;Matemática;Estudiante;Devuelto;Mostrador;;1;M. Sánchez;Pacífico;David Vega Salazar;;Minería de Datos Vol. 1;LB00399;BIB0024;500.0;USR000674;1;isbn con formato/longitud inválida;isbn;ISBN
PRE0010991;2025-10-06;2025-10-13;2025-10-21;Educación;Estudiante;Devuelto;Autoservicio;8760366909670;0;J. Ramírez;Salud;Carlos Quesada Mora;Revisión pendiente;Historia de Costa Rica Vol. 4;LB00035;;2000.0;USR003587;1;id_bibliotecario vacío o con formato inválido;id_bibliotecario;ID_BIBLIOTECARIO
PRE0010996;2024-10-28;;;Literatura;Investigador;Atrasado;App móvil;0893173420696;0;J. Caserta;Humanidades;Kevin Castro Valverde;;Gobernanza de Datos Vol. 4;LB00473;BIB0024;120500.0;USR001136;1;fecha_vencimiento inválida;fecha_vencimiento;FECHA_VENCIMIENTO
PRE0011013;2025-02-26;2025-03-12;;Derecho;Estudiante;En préstamo;En línea;9781ABC;3;S. Atre;Salud;Luis Castro Castro;;Programación en Python Vol. 4;LB00601;BIB0035;0.0;USR002492;2;isbn con formato/longitud inválida | isbn con formato/longitud inválida;isbn | isbn;ISBN | ISBN
PRE0011020;2024-07-28;2024-08-04;;Ingeniería;Docente;Atrasado;App móvil;7221704303054;;L. Mora;Humanidades;Paula Navarro Rojas;;Derecho de la Información Vol. 2;LB00106;BIB0037;147000.0;USR002978;1;renovaciones inválida o negativa;renovaciones;RENOVACIONES
PRE0011028;2024-12-26;2025-01-09;;Ciencias;Estudiante;Atrasado;Mostrador;2601645977945;0;L. Mora;Pacífico;;Usuario reporta portada dañada;Introducción a la Estadística Vol. 1;LB00490;BIB0036;107500.0;USR004492;1;nombre_usuario vacío;nombre_usuario;NOMBRE_USUARIO
PRE0011032;2025-08-10;2025-08-17;;Tecnología;Estudiante;Atrasado;App móvil;000X;2;A. Solís;Salud;Camila Araya Vargas;Renovado una vez;Diseño de Experimentos Vol. 1;LB00319;BIB0018;52500.0;USR000962;2;isbn con formato/longitud inválida | isbn con formato/longitud inválida;isbn | isbn;ISBN | ISBN
PRE0011035;2026-03-07;2026-03-28;2026-04-04;Arte;Estudiante;Devuelto;Autoservicio;7566184438612;0;C. Vargas;Atlántico;Mariana Rojas Castro;Entrega con atraso;Redes y Telecomunicaciones Vol. 4;LB00596;BIB0024;1750.0;NULL;1;id_usuario vacío o con formato inválido;id_usuario;ID_USUARIO
PRE0011048;2025-05-07;2025-05-28;2025-06-03;Ciencias;Estudiante;Devuelto;App móvil;;1;L. Rodríguez;Central;Diego Calvo Vargas;Renovado una vez;Visualización de Datos Vol. 3;LB00178;BIB0015;1500.0;USR001478;1;isbn con formato/longitud inválida;isbn;ISBN
PRE0011049;2024-11-15;2024-11-22;2024-11-27;Ciencias;Estudiante;Devuelto;Autoservicio;2601645977945;2;L. Mora;Ciencias Sociales;José Castro Ramírez;Préstamo interbibliotecario;;LB00490;BIB0003;1250.0;USR003867;1;titulo_libro vacío;titulo_libro;TITULO
PRE0011063;2025-03-13;2025-04-10;2025-04-20;Derecho;Docente;Devuelto;Autoservicio;1746120047113;0;J. Caserta;Atlántico;Andrés Cordero Gómez;Revisión pendiente;Introducción a la Estadística Vol. 3;LB00071;;2500.0;USR000549;1;id_bibliotecario vacío o con formato inválido;id_bibliotecario;ID_BIBLIOTECARIO
PRE0011082;;2026-01-26;2026-01-24;Historia;Estudiante;Devuelto;App móvil;2166365155973;3;A. Pérez;Atlántico;Roberto Solano Rojas;Usuario reporta portada dañada;Derecho de la Información Vol. 4;LB00661;BIB0004;0.0;USR001832;1;fecha_prestamo inválida;fecha_prestamo;FECHA_PRESTAMO
PRE0011084;;2024-03-22;;Medicina;Estudiante;Devuelto;Autoservicio;5460273415148;2;A. Solís;Central;N/A;;Ciencia de Datos Aplicada Vol. 4;LB00549;BIB0004;500.0;USR001779;1;fecha_prestamo inválida;fecha_prestamo;FECHA_PRESTAMO
PRE0011091;;2024-04-26;2024-04-21;Historia;Docente;Devuelto;Autoservicio;5208507698640;;D. Fernández;Occidente;Ana Castro Salazar;Usuario reporta portada dañada;Economía Digital Vol. 1;LB00457;BIB0035;0.0;USR002033;2;fecha_prestamo inválida | renovaciones inválida o negativa;fecha_prestamo | renovaciones;FECHA_PRESTAMO | RENOVACIONES
PRE0011092;2024-08-30;;2024-10-07;Tecnología;Estudiante;Devuelto;Mostrador;7157660538444;0;A. Pérez;Humanidades;Carlos Rojas Araya;Revisión pendiente;Redes y Telecomunicaciones Vol. 4;LB00671;BIB0028;2500.0;USR000345;1;fecha_vencimiento inválida;fecha_vencimiento;FECHA_VENCIMIENTO
PRE0011135;2025-07-18;2025-07-25;;Matemática;Docente;Atrasado;Mostrador;5723084810018;1;S. Gómez;Pacífico;Andrés Jiménez Aguilar;Revisión pendiente;;LB00639;BIB0002;58250.0;USR000065;1;titulo_libro vacío;titulo_libro;TITULO
PRE0011136;2025-02-16;2025-03-02;2025-03-06;Derecho;Estudiante;Devuelto;En línea;NULL;1;R. Kimball;Ingenierías;Alonso Navarro Gómez;;Economía Digital Vol. 3;LB00067;BIB0030;1000.0;USR003129;2;isbn con formato/longitud inválida | isbn con formato/longitud inválida;isbn | isbn;ISBN | ISBN
PRE0011156;2023-10-11;2023-11-08;;Literatura;Docente;Atrasado;App móvil;9781ABC;2;S. Atre;Pacífico;Natalia Vargas Jiménez;;Sistemas de Información Vol. 2;LB00214;BIB0033;214500.0;USR001162;2;isbn con formato/longitud inválida | isbn con formato/longitud inválida;isbn | isbn;ISBN | ISBN
PRE0011161;2025-07-29;2025-08-05;;Ciencias;Estudiante;;En línea;4190496631931;3;A. Pérez;Ingenierías;Diego Navarro Vargas;Entrega con atraso;Modelado Dimensional Vol. 2;LB00040;BIB0002;55500.0;USR003809;1;estado_prestamo vacío;estado_prestamo;ESTADO
PRE0011166;2025-06-25;2025-07-16;;Medicina;Estudiante;En préstamo;Mostrador;;0;J. Caserta;Humanidades;Paola Quesada Araya;Préstamo interbibliotecario;Derecho de la Información Vol. 1;LB00192;BIB0018;0.0;USR003406;1;isbn con formato/longitud inválida;isbn;ISBN
PRE0011183;2024-01-12;2024-01-19;2024-01-18;Arte;Docente;Devuelto;;4139537672423;2;C. Vargas;Atlántico;Elena Alvarado Alvarado;;Diseño de Experimentos Vol. 1;LB00006;BIB0011;0.0;USR003221;1;canal_prestamo vacío;canal_prestamo;CANAL
PRE0011191;;2024-02-09;2024-02-21;Medicina;Estudiante;Devuelto;App móvil;5164807279103;0;L. Rodríguez;Ingenierías;Julio Gómez Aguilar;Entrega con atraso;Fundamentos de Bibliotecología Vol. 4;LB00666;BIB0005;3000.0;USR001305;1;fecha_prestamo inválida;fecha_prestamo;FECHA_PRESTAMO
PRE0011211;2025-11-27;2025-12-11;2025-12-11;Matemática;Funcionario;En préstamo;App móvil;5547813767426;1;R. Kimball;Humanidades;Manuel Ramírez Araya;Renovado una vez;;LB00433;BIB0015;23500.0;USR000453;1;titulo_libro vacío;titulo_libro;TITULO
PRE0011215;2024-08-25;2024-09-15;;Educación;Estudiante;En préstamo;Autoservicio;6527047743490;3;S. Gómez;Salud;;;Derecho de la Información Vol. 4;LB00224;BIB0029;0.0;USR001438;1;nombre_usuario vacío;nombre_usuario;NOMBRE_USUARIO
PRE0011235;2024-04-05;2024-04-12;;Arte;Investigador;Atrasado;App móvil;12345;0;C. Inmon;Ingenierías;Daniela Aguilar Torres;Usuario reporta portada dañada;Redes y Telecomunicaciones Vol. 3;LB00070;BIB0025;175500.0;USR003799;2;isbn con formato/longitud inválida | isbn con formato/longitud inválida;isbn | isbn;ISBN | ISBN
PRE0011260;2025-08-07;;;Arte;Estudiante;En préstamo;Mostrador;9581467179576;3;R. Kimball;Ciencias Sociales;Sebastián Cordero Rojas;Préstamo interbibliotecario;Economía Digital Vol. 1;LB00496;BIB0026;0.0;USR004372;1;fecha_vencimiento inválida;fecha_vencimiento;FECHA_VENCIMIENTO
PRE0011275;2025-05-14;2025-05-28;;Educación;Docente;En préstamo;;7202590947985;3;R. Kimball;Ingenierías;Natalia Navarro Castro;Renovado una vez;Programación en Python Vol. 3;LB00268;BIB0006;0.0;USR003634;1;canal_prestamo vacío;canal_prestamo;CANAL
PRE0011276;2026-03-11;2026-04-08;2026-04-18;Ingeniería;Estudiante;Devuelto;Autoservicio;6624628733427;0;C. Vargas;Ingenierías;Gabriela Quesada Salazar;Renovado una vez;Modelado Dimensional Vol. 4;LB00148;;2500.0;USR000385;1;id_bibliotecario vacío o con formato inválido;id_bibliotecario;ID_BIBLIOTECARIO
PRE0011290;2023-06-12;2023-06-26;;Sociología;Estudiante;Atrasado;Mostrador;12345;0;A. Pérez;Humanidades;María Calvo Salazar;Préstamo interbibliotecario;Gobernanza de Datos Vol. 1;LB00728;BIB0037;248250.0;USR000379;2;isbn con formato/longitud inválida | isbn con formato/longitud inválida;isbn | isbn;ISBN | ISBN
PRE0011306;2023-02-25;2023-03-11;;Sociología;Estudiante;Atrasado;Mostrador;000X;1;L. Mora;Ciencias Sociales;Manuel Campos Cordero;;Modelado Dimensional Vol. 4;LB00694;BIB0033;275000.0;USR003228;2;isbn con formato/longitud inválida | isbn con formato/longitud inválida;isbn | isbn;ISBN | ISBN
PRE0011334;2024-02-28;2024-03-20;;Derecho;Funcionario;En préstamo;Web;000X;0;P. Ponniah;Occidente;Kevin Araya Ramírez;Entrega con atraso;Historia de Costa Rica Vol. 3;LB00117;BIB0005;0.0;USR003914;2;isbn con formato/longitud inválida | isbn con formato/longitud inválida;isbn | isbn;ISBN | ISBN
PRE0011352;2023-01-28;2023-02-11;2023-02-15;Economía;Estudiante;Devuelto;Mostrador;1128801336138;0;C. Vargas;Central;Roberto Torres Mora;;Derecho de la Información Vol. 2;LB00272;;1000.0;USR004920;1;id_bibliotecario vacío o con formato inválido;id_bibliotecario;ID_BIBLIOTECARIO
PRE0011371;2026-01-08;2026-02-05;;Sociología;Externo;Atrasado;App móvil;5616420595565;0;C. Vargas;Pacífico;Paula Jiménez Herrera;;;LB00745;BIB0003;9500.0;USR002425;1;titulo_libro vacío;titulo_libro;TITULO
PRE0011416;;2025-12-08;;Ingeniería;Funcionario;En préstamo;Autoservicio;4101194707200;0;L. Mora;Pacífico;Elena Calvo Herrera;;Análisis Multivariado Vol. 1;LB00400;BIB0032;0.0;USR003267;1;fecha_prestamo inválida;fecha_prestamo;FECHA_PRESTAMO
PRE0011432;2025-07-04;2025-07-18;2025-07-24;Economía;Externo;Devuelto;Mostrador;6363745458929;1;;Ingenierías;David Cordero Cordero;Renovado una vez;Derecho de la Información Vol. 3;LB00185;BIB0006;1500.0;USR003967;1;autor vacío;autor;AUTOR
PRE0011436;2024-01-23;2024-01-30;2024-02-02;Derecho;Estudiante;Devuelto;;7239504102767;2;J. Caserta;Ciencias Sociales;Camila Cordero Navarro;;Ciencia de Datos Aplicada Vol. 4;LB00393;BIB0025;750.0;USR001115;1;canal_prestamo vacío;canal_prestamo;CANAL
PRE0011475;2023-05-24;2023-06-14;2023-06-12;Derecho;Funcionario;Devuelto;App móvil;0894870605664;0;P. Ponniah;Salud;;Usuario reporta portada dañada;Algoritmos y Estructuras Vol. 3;LB00530;BIB0011;0.0;USR001494;1;nombre_usuario vacío;nombre_usuario;NOMBRE_USUARIO
PRE0011552;2023-12-12;2023-12-26;2023-12-25;Ciencias;Estudiante;Devuelto;;7857608495880;1;S. Atre;Atlántico;Alonso Vargas Aguilar;Revisión pendiente;Derecho de la Información Vol. 2;LB00368;BIB0019;0.0;USR000843;1;canal_prestamo vacío;canal_prestamo;CANAL
PRE0011567;2023-07-17;2023-08-14;2023-08-18;Ciencias;Docente;Devuelto;App móvil;;1;P. Ponniah;Pacífico;Javier Valverde Rodríguez;Revisión pendiente;Programación en Python Vol. 1;LB00422;BIB0014;1000.0;USR000952;1;isbn con formato/longitud inválida;isbn;ISBN
PRE0011588;2024-08-22;2024-09-12;2024-09-08;Tecnología;Externo;Devuelto;App móvil;000X;1;C. Vargas;Pacífico;Gabriela Mora Cordero;Renovado una vez;Programación en Python Vol. 1;LB00280;BIB0011;0.0;USR004205;2;isbn con formato/longitud inválida | isbn con formato/longitud inválida;isbn | isbn;ISBN | ISBN
PRE0011594;2024-11-22;2024-12-20;2024-12-26;Economía;Estudiante;Devuelto;Autoservicio;;3;R. Kimball;Humanidades;Camila Sánchez Ramírez;Entrega con atraso;Arquitectura de Datos Vol. 3;LB00044;BIB0021;1500.0;USR003205;1;isbn con formato/longitud inválida;isbn;ISBN
PRE0011606;2024-03-21;2024-04-11;2024-04-18;Literatura;Investigador;Devuelto;En línea;NULL;0;C. Vargas;Atlántico;Gabriela Cordero Araya;;Gobernanza de Datos Vol. 4;LB00620;BIB0022;1750.0;USR004501;2;isbn con formato/longitud inválida | isbn con formato/longitud inválida;isbn | isbn;ISBN | ISBN
PRE0011610;2025-09-12;2025-10-03;;Ingeniería;Estudiante;En préstamo;Mostrador;1034131647525;0;P. Ponniah;Salud;;;Derecho de la Información Vol. 3;LB00004;BIB0005;0.0;USR003301;1;nombre_usuario vacío;nombre_usuario;NOMBRE_USUARIO
PRE0011617;2025-01-30;2025-02-06;2025-02-01;Tecnología;Estudiante;Devuelto;Mostrador;0982150648909;0;L. Rodríguez;Central;;;Diseño de Experimentos Vol. 2;LB00246;BIB0031;0.0;USR002633;1;nombre_usuario vacío;nombre_usuario;NOMBRE_USUARIO
PRE0011619;2023-09-28;;;Educación;Estudiante;Atrasado;Autoservicio;0229612018366;0;C. Vargas;Occidente;Ana Murillo Vargas;Revisión pendiente;Economía Digital Vol. 3;LB00083;BIB0035;223000.0;USR004092;1;fecha_vencimiento inválida;fecha_vencimiento;FECHA_VENCIMIENTO
PRE0011627;2023-12-12;2023-12-19;2023-12-27;Ingeniería;Estudiante;Devuelto;;4870682778816;2;C. Inmon;Occidente;Camila Salazar Solano;Préstamo interbibliotecario;Administración de Proyectos Vol. 1;LB00613;BIB0027;2000.0;USR000124;1;canal_prestamo vacío;canal_prestamo;CANAL
PRE0011628;2023-05-26;2023-06-09;;Educación;Estudiante;Atrasado;Autoservicio;4940128974325;2;P. Ponniah;Humanidades;Lucía Gómez Gómez;;Análisis Multivariado Vol. 2;LB00699;BIB0038;252500.0;NULL;1;id_usuario vacío o con formato inválido;id_usuario;ID_USUARIO
PRE0011635;2024-04-21;2024-05-05;;Ingeniería;Estudiante;Atrasado;Autoservicio;1034131647525;1;P. Ponniah;Salud;Sebastián Vega Aguilar;;;LB00004;BIB0039;169750.0;USR003757;1;titulo_libro vacío;titulo_libro;TITULO
